CustomerId,Last Name,CreditScore,State,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Estimated Income,Left
15684801,Abbott,689,NY,Male,47,1,93871.95,3,1,0,156878.42,0
15601012,Abdullah,802,NY,Female,60,3,92887.06,1,1,0,39473.63,0
15781802,Abramov,755,NY,Male,41,6,104817.41,1,1,0,126013.58,0
15666297,Abramova,706,CT,Female,53,3,0,3,0,0,88479.02,0
15593969,Abramovich,630,CT,Female,39,7,135483.17,1,1,0,140881.2,0
15661723,Abramovich,667,CT,Male,71,4,137260.78,1,0,1,94433.08,0
15732202,Abramovich,615,NY,Male,34,1,83503.11,2,1,1,73124.53,0
15611430,Abramowitz,690,NY,Male,54,5,0,1,1,0,12847.61,0
15647008,Adams,624,NJ,Male,54,3,116726.22,1,1,0,110498.1,0
15615430,Adams,678,NJ,Male,55,4,129646.91,1,1,1,184125.1,0
15573599,Adamson,506,NY,Female,57,6,0,2,0,1,194421.12,0
15708534,Afamefuna,524,CT,Female,64,5,0,1,1,0,136079.64,0
15641319,Afanasyeva,518,CT,Male,50,4,0,1,0,0,107112.25,0
15743245,Agafonova,624,NY,Male,42,3,145155.37,1,1,0,72169.95,0
15692416,Aikenhead,358,CT,Female,52,8,143542.36,3,1,0,141959.11,0
15684196,Aitken,627,NY,Female,55,2,159441.27,1,1,0,100686.11,0
15677336,Aitken,557,NJ,Male,57,1,120043.13,1,1,0,132370.75,0
15797081,Ajuluchukwu,611,NJ,Female,49,9,115488.52,2,1,1,138656.81,0
15769959,Ajuluchukwu,597,NY,Female,53,4,88381.21,1,1,0,69384.71,0
15716491,Akabueze,710,CT,Female,51,4,93656.95,1,0,1,141400.51,0
15619972,Akabueze,807,NY,Female,47,9,167664.83,1,0,0,125440.11,0
15577771,Akabueze,453,NJ,Female,40,1,111524.49,1,1,1,120373.84,0
15661162,Akabueze,526,CT,Male,49,2,0,1,1,0,114539.67,0
15596013,Akhtar,694,NJ,Female,58,1,143212.22,1,0,0,102628.56,0
15707968,Akobundu,545,CT,Male,36,8,73211.12,2,1,0,89587.34,0
15565706,Akobundu,612,CT,Male,35,1,0,1,1,1,83256.26,0
